,Location,Year,Population
228,MA,2008,6468967.0
229,MA,2007,6431559.0
230,MA,2009,6517613.0
231,MI,2009,9901591.0
232,MI,2007,10001284.0
233,MI,2008,9946889.0
234,MI,2005,10051137.0
235,MI,2006,10036081.0
236,MI,2003,10041152.0
237,MI,2004,10055315.0
238,MI,2002,10015710.0
239,MI,2001,9991120.0
240,MI,2000,9952450.0
241,MI,1999,9897116.0
242,MN,1999,4873481.0
243,MN,2000,4933692.0
244,MN,2001,4982796.0
245,MN,2002,5018935.0
246,MN,2004,5087713.0
247,MN,2003,5053572.0
248,MN,2006,5163555.0
249,MN,2005,5119598.0
250,MN,2008,5247018.0
251,MN,2007,5207203.0
252,MN,2009,5281203.0
253,MS,2009,2958774.0
254,MS,2007,2928350.0
255,MS,2008,2947806.0
256,MS,2005,2905943.0
257,MS,2006,2904978.0
258,MS,2003,2868312.0
259,MS,2004,2889010.0
260,MS,2002,2858681.0
261,MS,2001,2852994.0
262,MS,2000,2848353.0
263,MS,1999,2828408.0
264,MO,1999,5561948.0
265,MO,2000,5607285.0
266,MO,2001,5641142.0
267,MO,2002,5674825.0
268,MO,2004,5747741.0
269,MO,2003,5709403.0
270,MO,2006,5842704.0
271,MO,2005,5790300.0
272,MO,2008,5923916.0
273,MO,2007,5887612.0
274,MO,2009,5961088.0
275,MT,2009,983982.0
276,MT,2007,964706.0
277,MT,2008,976415.0
278,MT,2005,940102.0
279,MT,2006,952692.0
280,MT,2003,919630.0
281,MT,2004,930009.0
282,MT,2002,911667.0
283,MT,2001,906961.0
284,MT,1999,897508.0
285,MT,2000,903773.0
286,NE,1999,1704764.0
287,NE,2000,1713820.0
288,NE,2001,1719836.0
289,NE,2002,1728292.0
290,NE,2004,1749370.0
291,NE,2003,1738643.0
292,NE,2006,1772693.0
293,NE,2005,1761497.0
294,NE,2008,1796378.0
295,NE,2007,1783440.0
296,NE,2009,1812683.0
297,NV,2009,2684665.0
298,NV,2007,2601072.0
299,NV,2008,2653630.0
300,NV,2005,2432143.0
301,NV,2006,2522658.0
302,NV,2003,2248850.0
303,NV,2004,2346222.0
304,NV,2002,2173791.0
305,NV,2001,2098399.0
306,NV,1999,1934718.0
307,NV,2000,2018741.0
308,NH,2000,1239882.0
309,NH,1999,1222015.0
310,NH,2001,1255517.0
311,NH,2002,1269089.0
312,NH,2004,1290121.0
313,NH,2003,1279840.0
314,NH,2005,1298492.0
315,NH,2006,1308389.0
316,NH,2008,1315906.0
317,NH,2007,1312540.0
318,NH,2009,1316102.0
319,NJ,2009,8755602.0
320,NJ,2007,8677885.0
321,NJ,2008,8711090.0
322,NJ,2006,8661679.0
323,NJ,2005,8651974.0
324,NJ,2003,8601402.0
325,NJ,2004,8634561.0
326,NJ,2002,8552643.0
327,NJ,2001,8492671.0
328,NJ,1999,8359592.0
329,NJ,2000,8430621.0
330,NM,1999,1808082.0
331,NM,2000,1821204.0
332,NM,2001,1831690.0
333,NM,2002,1855309.0
334,NM,2004,1903808.0
335,NM,2003,1877574.0
336,NM,2005,1932274.0
337,NM,2006,1962137.0
338,NM,2008,2010662.0
339,NM,2007,1990070.0
340,NM,2009,2036802.0
341,NY,2009,19307066.0
342,NY,2007,19132335.0
343,NY,2008,19212436.0
344,NY,2006,19104631.0
345,NY,2005,19132610.0
346,NY,2003,19175939.0
347,NY,2004,19171567.0
348,NY,2002,19137800.0
349,NY,2001,19082838.0
350,NY,1999,18882725.0
351,NY,2000,19001780.0
352,NC,2000,8081614.0
353,NC,1999,7949362.0
354,NC,2001,8210122.0
355,NC,2002,8326201.0
356,NC,2004,8553152.0
357,NC,2003,8422501.0
358,NC,2005,8705407.0
359,NC,2006,8917270.0
360,NC,2008,9309449.0
361,NC,2007,9118037.0
362,NC,2009,9449566.0
363,ND,2009,664968.0
364,ND,2007,652822.0
365,ND,2008,657569.0
366,ND,2006,649422.0
367,ND,2005,646089.0
368,ND,2003,638817.0
369,ND,2004,644705.0
370,ND,2002,638168.0
371,ND,2001,639062.0
372,ND,1999,644259.0
373,ND,2000,642023.0
374,OH,2000,11363543.0
375,OH,1999,11335454.0
376,OH,2001,11387404.0
377,OH,2002,11407889.0
378,OH,2004,11452251.0
379,OH,2003,11434788.0
380,OH,2005,11463320.0
381,OH,2006,11481213.0
382,OH,2008,11515391.0
383,OH,2007,11500468.0
384,OH,2009,11528896.0
385,OK,2009,3717572.0
386,OK,2007,3634349.0
387,OK,2008,3668976.0
388,OK,2006,3594090.0
389,OK,2005,3548597.0
390,OK,2003,3504892.0
391,OK,2004,3525233.0
392,OK,2002,3489080.0
393,OK,2001,3467100.0
394,OK,1999,3437148.0
395,OK,2000,3454365.0
396,OR,2000,3429708.0
397,OR,1999,3393941.0
398,OR,2001,3467937.0
399,OR,2002,3513424.0
400,OR,2004,3569463.0
401,OR,2003,3547376.0
402,OR,2005,3613202.0
403,OR,2006,3670883.0
404,OR,2008,3768748.0
405,OR,2007,3722417.0
406,OR,2009,3808600.0
407,PA,2009,12666858.0
408,PA,2007,12563937.0
409,PA,2008,12612285.0
410,PA,2006,12510809.0
411,PA,2005,12449990.0
412,PA,2003,12374658.0
413,PA,2004,12410722.0
414,PA,2002,12331031.0
415,PA,2001,12298970.0
416,PA,1999,12263805.0
417,PA,2000,12284173.0
418,RI,2000,1050268.0
419,RI,1999,1040402.0
420,RI,2001,1057142.0
421,RI,2002,1065995.0
422,RI,2004,1074579.0
423,RI,2003,1071342.0
424,RI,2005,1067916.0
425,RI,2006,1063096.0
426,RI,2008,1055003.0
427,RI,2007,1057315.0
428,RI,2009,1053646.0
429,SC,2009,4589872.0
430,SC,2007,4444110.0
431,SC,2008,4528996.0
432,SC,2006,4357847.0
433,SC,2005,4270150.0
434,SC,2003,4150297.0
435,SC,2004,4210921.0
436,SC,2002,4107795.0
437,SC,2001,4064995.0
438,SC,1999,3974682.0
439,SC,2000,4024223.0
440,SD,2000,755844.0
441,SD,1999,750413.0
442,SD,2001,757972.0
443,SD,2002,760020.0
444,SD,2004,770396.0
445,SD,2003,763729.0
