Year,Location,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
2019,AR,77.0,94.0,85.0,106.0,186.0,548.0
2019,CA,417.0,775.0,664.0,842.0,1738.0,4436.0
2019,CO,145.0,267.0,229.0,270.0,401.0,1312.0
2019,CT,38.0,71.0,54.0,102.0,170.0,435.0
2019,DE,,19.0,20.0,,38.0,111.0
2019,FL,242.0,455.0,420.0,693.0,1655.0,3465.0
2019,GA,159.0,292.0,267.0,356.0,511.0,1585.0
2019,HI,20.0,48.0,36.0,49.0,71.0,224.0
2019,ID,44.0,53.0,65.0,66.0,137.0,365.0
2019,IL,126.0,242.0,229.0,312.0,530.0,1439.0
2019,IN,102.0,182.0,153.0,197.0,338.0,972.0
2019,IA,58.0,104.0,88.0,105.0,173.0,528.0
2019,KS,65.0,104.0,106.0,92.0,156.0,523.0
2019,KY,70.0,125.0,147.0,143.0,271.0,756.0
2019,LA,76.0,103.0,127.0,159.0,239.0,704.0
2019,ME,20.0,41.0,40.0,67.0,108.0,276.0
2019,MD,65.0,112.0,97.0,131.0,252.0,657.0
2019,MA,58.0,103.0,98.0,133.0,255.0,647.0
2019,MI,137.0,252.0,217.0,328.0,538.0,1472.0
2019,MN,91.0,145.0,136.0,177.0,281.0,830.0
2019,MS,40.0,84.0,78.0,75.0,159.0,436.0
2019,MO,136.0,192.0,191.0,227.0,395.0,1141.0
2019,MT,40.0,49.0,39.0,52.0,109.0,289.0
2019,NE,35.0,42.0,62.0,64.0,106.0,309.0
2019,NV,53.0,114.0,87.0,122.0,266.0,642.0
2019,NH,27.0,48.0,32.0,48.0,100.0,255.0
2019,NJ,65.0,112.0,118.0,162.0,305.0,762.0
2019,NM,66.0,96.0,75.0,98.0,178.0,513.0
2019,NY,192.0,274.0,258.0,350.0,631.0,1705.0
2019,NC,157.0,214.0,226.0,272.0,489.0,1358.0
2019,ND,12.0,30.0,20.0,36.0,38.0,136.0
2019,OH,186.0,305.0,304.0,373.0,638.0,1806.0
2019,OK,90.0,141.0,144.0,167.0,274.0,816.0
2019,OR,98.0,152.0,130.0,186.0,340.0,906.0
2019,PA,152.0,300.0,290.0,402.0,752.0,1896.0
2019,RI,,25.0,16.0,,52.0,123.0
2019,SC,84.0,146.0,137.0,183.0,302.0,852.0
2019,SD,29.0,38.0,23.0,42.0,50.0,182.0
2019,TN,118.0,198.0,209.0,234.0,460.0,1219.0
2019,TX,491.0,717.0,666.0,798.0,1219.0,3891.0
2019,UT,107.0,122.0,140.0,132.0,153.0,654.0
2019,VT,,21.0,13.0,,50.0,110.0
2019,VA,131.0,198.0,168.0,224.0,419.0,1140.0
2019,WA,120.0,201.0,197.0,263.0,482.0,1263.0
2019,WV,31.0,59.0,73.0,55.0,112.0,330.0
2019,WI,92.0,124.0,134.0,175.0,320.0,845.0
2019,WY,15.0,24.0,32.0,37.0,62.0,170.0
2020,AL,82.0,159.0,145.0,137.0,270.0,793.0
2020,AK,39.0,55.0,24.0,36.0,50.0,204.0
2020,AZ,152.0,250.0,188.0,249.0,524.0,1363.0
2020,AR,61.0,119.0,99.0,106.0,198.0,583.0
2020,CA,389.0,792.0,608.0,756.0,1599.0,4144.0
2020,CO,147.0,269.0,212.0,258.0,416.0,1302.0
2020,CT,23.0,49.0,46.0,81.0,165.0,364.0
2020,DE,10.0,23.0,23.0,20.0,48.0,124.0
2020,FL,257.0,475.0,402.0,558.0,1443.0,3135.0
2020,GA,197.0,286.0,254.0,286.0,468.0,1491.0
2020,HI,22.0,27.0,39.0,33.0,63.0,184.0
2020,ID,46.0,82.0,75.0,87.0,129.0,419.0
2020,IL,153.0,246.0,223.0,297.0,443.0,1362.0
2020,IN,124.0,203.0,162.0,207.0,328.0,1024.0
2020,IA,60.0,103.0,115.0,114.0,160.0,552.0
2020,KS,77.0,115.0,85.0,107.0,147.0,531.0
2020,KY,89.0,142.0,149.0,146.0,275.0,801.0
2020,LA,63.0,128.0,100.0,146.0,205.0,642.0
2020,ME,20.0,34.0,39.0,42.0,99.0,234.0
2020,MD,50.0,110.0,91.0,108.0,226.0,585.0
2020,MA,57.0,100.0,96.0,139.0,226.0,618.0
2020,MI,157.0,240.0,214.0,288.0,545.0,1444.0
2020,MN,76.0,142.0,128.0,143.0,269.0,758.0
2020,MS,42.0,93.0,75.0,73.0,127.0,410.0
2020,MO,137.0,216.0,191.0,225.0,356.0,1125.0
2020,MT,37.0,51.0,34.0,49.0,129.0,300.0
2020,NE,30.0,60.0,56.0,52.0,85.0,283.0
2020,NV,62.0,88.0,84.0,115.0,254.0,603.0
2020,NH,24.0,43.0,34.0,53.0,80.0,234.0
2020,NJ,58.0,114.0,85.0,138.0,284.0,679.0
2020,NM,67.0,106.0,73.0,102.0,168.0,516.0
2020,NY,146.0,278.0,277.0,315.0,626.0,1642.0
2020,NC,158.0,262.0,221.0,316.0,484.0,1441.0
2020,ND,10.0,33.0,32.0,26.0,34.0,135.0
2020,OH,193.0,302.0,254.0,323.0,572.0,1644.0
2020,OK,111.0,161.0,162.0,161.0,274.0,869.0
2020,OR,77.0,139.0,132.0,148.0,337.0,833.0
2020,PA,151.0,295.0,254.0,318.0,676.0,1694.0
2020,RI,,19.0,17.0,,33.0,94.0
2020,SC,115.0,152.0,137.0,167.0,297.0,868.0
2020,SD,30.0,40.0,27.0,32.0,57.0,186.0
2020,TN,108.0,221.0,205.0,250.0,436.0,1220.0
2020,TX,519.0,786.0,705.0,780.0,1134.0,3924.0
2020,UT,89.0,155.0,106.0,151.0,150.0,651.0
2020,VT,13.0,23.0,15.0,24.0,42.0,117.0
2020,VA,159.0,203.0,177.0,234.0,429.0,1202.0
2020,WA,128.0,216.0,200.0,243.0,425.0,1212.0
2020,WV,35.0,66.0,63.0,62.0,128.0,354.0
2020,WI,104.0,138.0,148.0,171.0,305.0,866.0
2020,WY,19.0,38.0,25.0,31.0,69.0,182.0
2021,AL,75.0,162.0,115.0,171.0,304.0,827.0
2021,AK,50.0,52.0,52.0,28.0,38.0,220.0
2021,AZ,167.0,283.0,227.0,240.0,557.0,1474.0
2021,AR,59.0,117.0,131.0,113.0,198.0,618.0
2021,CA,414.0,787.0,688.0,,,2640.0
2021,CO,152.0,280.0,237.0,253.0,462.0,1384.0
2021,CT,44.0,56.0,45.0,65.0,191.0,401.0
2021,DE,19.0,22.0,21.0,28.0,47.0,137.0
2021,FL,274.0,485.0,472.0,,,1801.0
2021,GA,208.0,313.0,274.0,360.0,521.0,1676.0
2021,HI,21.0,37.0,40.0,33.0,71.0,202.0
2021,ID,36.0,88.0,67.0,81.0,115.0,387.0
2021,IL,157.0,275.0,225.0,305.0,492.0,1454.0
2021,IN,141.0,214.0,200.0,202.0,372.0,1129.0
2021,IA,56.0,96.0,115.0,114.0,168.0,549.0
2021,KS,79.0,123.0,100.0,105.0,153.0,560.0
2021,KY,96.0,140.0,146.0,160.0,274.0,816.0
2021,LA,74.0,117.0,136.0,142.0,220.0,689.0
2021,ME,18.0,54.0,49.0,55.0,101.0,277.0
2021,MD,72.0,99.0,96.0,123.0,230.0,620.0
2021,MA,53.0,105.0,95.0,104.0,247.0,604.0
2021,MI,160.0,279.0,227.0,267.0,552.0,1485.0
2021,MN,89.0,165.0,135.0,154.0,265.0,808.0
2021,MS,52.0,95.0,78.0,96.0,159.0,480.0
2021,MO,140.0,256.0,184.0,206.0,391.0,1177.0
2021,MT,46.0,58.0,65.0,73.0,108.0,350.0
2021,NE,30.0,64.0,48.0,67.0,79.0,288.0
2021,NV,79.0,106.0,108.0,140.0,258.0,691.0
2021,NH,19.0,34.0,31.0,52.0,87.0,223.0
2021,NJ,74.0,97.0,108.0,146.0,263.0,688.0
2021,NM,72.0,112.0,85.0,96.0,168.0,533.0
2021,NY,138.0,323.0,253.0,342.0,604.0,1660.0
2021,NC,189.0,256.0,201.0,285.0,517.0,1448.0
2021,ND,25.0,31.0,30.0,34.0,36.0,156.0
2021,OH,200.0,336.0,292.0,321.0,617.0,1766.0
2021,OK,113.0,149.0,174.0,163.0,278.0,877.0
2021,OR,79.0,162.0,137.0,158.0,353.0,889.0
2021,PA,166.0,319.0,303.0,380.0,717.0,1885.0
2021,RI,11.0,14.0,22.0,30.0,40.0,117.0
2021,SC,102.0,135.0,126.0,164.0,275.0,802.0
2021,SD,42.0,44.0,21.0,44.0,52.0,203.0
2021,TN,121.0,251.0,188.0,243.0,419.0,1222.0
2021,TX,571.0,824.0,722.0,,,2943.0
2021,UT,96.0,116.0,129.0,143.0,159.0,643.0
2021,VT,,26.0,19.0,,62.0,142.0
2021,VA,163.0,201.0,187.0,214.0,423.0,1188.0
2021,WA,146.0,240.0,197.0,211.0,435.0,1229.0
2021,WV,34.0,58.0,73.0,70.0,140.0,375.0
2021,WI,104.0,164.0,147.0,182.0,308.0,905.0
2021,WY,26.0,28.0,39.0,28.0,69.0,190.0
