Year,Location,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
2017,GA,155.0,259.0,228.0,320.0,489.0,1451.0
2017,HI,31.0,49.0,32.0,37.0,78.0,227.0
2017,ID,39.0,70.0,67.0,86.0,130.0,392.0
2017,IL,162.0,252.0,251.0,315.0,494.0,1474.0
2017,IN,133.0,205.0,184.0,250.0,320.0,1092.0
2017,IA,58.0,84.0,75.0,99.0,163.0,479.0
2017,KS,68.0,104.0,92.0,124.0,165.0,553.0
2017,KY,66.0,125.0,137.0,180.0,262.0,770.0
2017,LA,74.0,142.0,114.0,171.0,219.0,720.0
2017,ME,17.0,39.0,37.0,59.0,122.0,274.0
2017,MD,61.0,121.0,74.0,144.0,230.0,630.0
2017,MA,65.0,128.0,115.0,157.0,217.0,682.0
2017,MI,152.0,229.0,216.0,334.0,526.0,1457.0
2017,MN,89.0,133.0,129.0,176.0,256.0,783.0
2017,MS,46.0,70.0,84.0,103.0,142.0,445.0
2017,MO,136.0,194.0,186.0,250.0,385.0,1151.0
2017,MT,38.0,56.0,46.0,54.0,117.0,311.0
2017,NE,41.0,42.0,55.0,58.0,79.0,275.0
2017,NV,62.0,98.0,93.0,134.0,240.0,627.0
2017,NH,38.0,42.0,38.0,62.0,85.0,265.0
2017,NJ,81.0,113.0,105.0,213.0,283.0,795.0
2017,NM,67.0,84.0,67.0,114.0,159.0,491.0
2017,NY,162.0,291.0,264.0,398.0,581.0,1696.0
2017,NC,156.0,256.0,242.0,319.0,548.0,1521.0
2017,ND,26.0,49.0,14.0,34.0,31.0,154.0
2017,OH,190.0,296.0,300.0,387.0,567.0,1740.0
2017,OK,111.0,146.0,125.0,138.0,236.0,756.0
2017,OR,76.0,123.0,131.0,181.0,314.0,825.0
2017,PA,213.0,290.0,291.0,463.0,773.0,2030.0
2017,RI,13.0,19.0,22.0,35.0,40.0,129.0
2017,SC,82.0,139.0,140.0,188.0,289.0,838.0
2017,SD,28.0,35.0,27.0,50.0,51.0,191.0
2017,TN,95.0,186.0,202.0,262.0,421.0,1166.0
2017,TX,467.0,713.0,619.0,827.0,1152.0,3778.0
2017,UT,93.0,124.0,135.0,156.0,155.0,663.0
2017,VT,10.0,20.0,25.0,26.0,31.0,112.0
2017,VA,129.0,204.0,183.0,249.0,414.0,1179.0
2017,WA,158.0,190.0,197.0,271.0,481.0,1297.0
2017,WV,27.0,62.0,71.0,91.0,142.0,393.0
2017,WI,87.0,159.0,139.0,211.0,330.0,926.0
2017,WY,17.0,22.0,27.0,38.0,53.0,157.0
2018,AL,88.0,148.0,151.0,151.0,285.0,823.0
2018,AK,34.0,48.0,22.0,35.0,45.0,184.0
2018,AZ,154.0,233.0,202.0,277.0,572.0,1438.0
2018,AR,55.0,104.0,96.0,117.0,182.0,554.0
2018,CA,427.0,726.0,662.0,909.0,1767.0,4491.0
2018,CO,145.0,248.0,222.0,286.0,381.0,1282.0
2018,CT,34.0,46.0,52.0,102.0,185.0,419.0
2018,DE,18.0,29.0,,,34.0,113.0
2018,FL,243.0,428.0,504.0,684.0,1708.0,3567.0
2018,GA,166.0,283.0,256.0,333.0,531.0,1569.0
2018,HI,19.0,32.0,30.0,30.0,65.0,176.0
2018,ID,61.0,65.0,54.0,101.0,136.0,417.0
2018,IL,144.0,257.0,263.0,319.0,505.0,1488.0
2018,IN,126.0,182.0,187.0,241.0,343.0,1079.0
2018,IA,57.0,88.0,79.0,103.0,163.0,490.0
2018,KS,81.0,104.0,105.0,103.0,163.0,556.0
2018,KY,89.0,120.0,131.0,177.0,283.0,800.0
2018,LA,76.0,130.0,116.0,143.0,255.0,720.0
2018,ME,24.0,37.0,34.0,55.0,120.0,270.0
2018,MD,70.0,91.0,99.0,131.0,259.0,650.0
2018,MA,65.0,121.0,100.0,173.0,281.0,740.0
2018,MI,172.0,259.0,235.0,337.0,545.0,1548.0
2018,MN,84.0,147.0,116.0,179.0,213.0,739.0
2018,MS,51.0,62.0,74.0,70.0,164.0,421.0
2018,MO,121.0,218.0,186.0,265.0,440.0,1230.0
2018,MT,33.0,45.0,43.0,55.0,89.0,265.0
2018,NE,29.0,53.0,25.0,54.0,110.0,271.0
2018,NV,50.0,99.0,106.0,149.0,253.0,657.0
2018,NH,27.0,35.0,38.0,77.0,102.0,279.0
2018,NJ,79.0,112.0,111.0,192.0,284.0,778.0
2018,NM,63.0,108.0,77.0,101.0,187.0,536.0
2018,NY,162.0,282.0,254.0,369.0,656.0,1723.0
2018,NC,150.0,219.0,219.0,343.0,563.0,1494.0
2018,ND,20.0,38.0,21.0,29.0,39.0,147.0
2018,OH,187.0,295.0,299.0,382.0,675.0,1838.0
2018,OK,77.0,156.0,136.0,161.0,260.0,790.0
2018,OR,90.0,135.0,115.0,174.0,330.0,844.0
2018,PA,191.0,308.0,290.0,424.0,801.0,2014.0
2018,RI,,16.0,23.0,,44.0,106.0
2018,SC,93.0,142.0,124.0,161.0,291.0,811.0
2018,SD,26.0,36.0,17.0,44.0,44.0,167.0
2018,TN,100.0,197.0,190.0,258.0,416.0,1161.0
2018,TX,446.0,776.0,642.0,854.0,1212.0,3930.0
2018,UT,93.0,127.0,159.0,144.0,142.0,665.0
2018,VT,10.0,21.0,19.0,27.0,48.0,125.0
2018,VA,164.0,164.0,208.0,242.0,465.0,1243.0
2018,WA,144.0,189.0,181.0,258.0,480.0,1252.0
2018,WV,34.0,62.0,66.0,90.0,143.0,395.0
2018,WI,79.0,167.0,136.0,191.0,315.0,888.0
2018,WY,20.0,20.0,28.0,26.0,53.0,147.0
2019,AL,79.0,129.0,157.0,162.0,277.0,804.0
2019,AK,40.0,51.0,30.0,45.0,44.0,210.0
2019,AZ,133.0,259.0,188.0,271.0,568.0,1419.0
