,Year,Number of Suicides
0,1990,13924
1,1991,14010
2,1992,13458
3,1993,12690
4,1994,12718
5,1995,12888
6,1996,12225
7,1997,12256
8,1998,11654
9,1999,11160
10,2000,11073
11,2001,11167
12,2002,11176
13,2003,11155
14,2004,10741
15,2005,10270
16,2006,9775
17,2007,9409
18,2008,9459
19,2009,9579
20,2010,10030
21,2011,10153
22,2012,9896
23,2013,10091
24,2014,10217
25,2015,10088
