"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","NaN","32439","NaN","32439"
"Alabama","12","75","70","102","541","173","541"
"Alaska","14","33","33","32","155","15","155"
"Arizona","25","116","136","172","880","253","880"
"Arkansas","N/A","35","56","64","361","108","361"
"California","90","359","505","630","3368","NaN","3368"
"Colorado","33","81","133","168","797","184","797"
"Connecticut","10","30","39","58","294","77","294"
"Delaware","N/A","N/A","16","21","93","25","93"
"District of Columbia","N/A","N/A","N/A","N/A","33","N/A","33"
"Florida","39","186","284","474","2389","857","2389"
"Georgia","24","119","167","200","973","281","973"
"Hawaii","N/A","11","20","20","116","33","116"
"Idaho","N/A","25","32","56","236","67","236"
"Illinois","38","122","171","200","1028","271","1028"
"Indiana","28","71","126","170","704","190","704"
"Iowa","12","47","57","63","343","85","343"
"Kansas","12","48","61","76","370","94","370"
"Kentucky","10","65","95","119","560","155","560"
"Louisiana","15","77","98","110","537","124","537"
"Maine","N/A","24","20","32","171","47","171"
"Maryland","14","50","56","116","500","145","500"
"Massachusetts","12","40","67","101","425","113","425"
"Michigan","40","108","172","258","1098","266","1098"
"Minnesota","19","73","89","121","524","115","524"
"Mississippi","13","39","66","62","350","98","350"
"Missouri","31","69","115","155","715","196","715"
"Montana","N/A","23","30","37","175","48","175"
"Nebraska","10","26","21","33","166","36","166"
"Nevada","11","29","58","71","440","157","440"
"New Hampshire","N/A","16","16","30","133","41","133"
"New Jersey","27","57","95","132","597","162","597"
"New Mexico","24","60","68","60","356","87","356"
"New York","42","137","183","231","1187","355","1187"
"North Carolina","23","117","180","251","1027","279","1027"
"North Dakota","N/A","16","13","12","73","14","73"
"Ohio","54","146","211","252","1319","364","1319"
"Oklahoma","14","64","77","110","506","144","506"
"Oregon","10","60","66","108","555","189","555"
"Pennsylvania","43","136","212","294","1410","382","1410"
"Rhode Island","N/A","10","N/A","19","85","21","85"
"South Carolina","18","49","78","86","482","140","482"
"South Dakota","12","16","26","22","112","20","112"
"Tennessee","22","81","131","160","792","227","792"
"Texas","85","270","399","457","2300","638","2300"
"Utah","18","48","86","72","377","79","377"
"Vermont","N/A","N/A","18","14","93","32","93"
"Virginia","20","82","117","186","828","246","828"
"Washington","22","87","110","193","830","236","830"
"West Virginia","N/A","34","47","68","285","79","285"
"Wisconsin","27","84","117","139","662","150","662"
"Wyoming","N/A","N/A","17","13","88","31","88"
