"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","6571","38364","NaN","38364"
"Alabama","19","63","114","117","679","217","679"
"Alaska","12","39","29","19","164","35","164"
"Arizona","25","119","166","156","1093","371","1093"
"Arkansas","10","48","71","96","447","129","447"
"California","92","376","485","604","3913","NaN","3913"
"Colorado","26","99","133","150","865","235","865"
"Connecticut","N/A","36","48","64","353","112","353"
"Delaware","N/A","12","N/A","20","106","28","106"
"District of Columbia","N/A","N/A","N/A","12","41","N/A","41"
"Florida","38","190","314","428","2789","NaN","2789"
"Georgia","31","121","161","199","1133","370","1133"
"Hawaii","N/A","27","38","44","207","54","207"
"Idaho","12","27","43","53","290","107","290"
"Illinois","42","109","179","209","1178","363","1178"
"Indiana","22","85","134","140","864","264","864"
"Iowa","16","36","54","63","372","111","372"
"Kansas","17","46","79","57","401","100","401"
"Kentucky","15","47","99","121","631","193","631"
"Louisiana","17","57","102","99","557","168","557"
"Maine","N/A","19","22","28","186","57","186"
"Maryland","12","53","76","72","502","158","502"
"Massachusetts","14","67","96","118","598","170","598"
"Michigan","47","135","171","237","1263","380","1263"
"Minnesota","23","70","104","103","606","157","606"
"Mississippi","N/A","33","63","65","388","127","388"
"Missouri","21","85","141","148","856","266","856"
"Montana","N/A","25","35","30","227","91","227"
"Nebraska","N/A","19","26","31","193","64","193"
"Nevada","N/A","41","76","104","547","217","547"
"New Hampshire","N/A","17","32","27","196","69","196"
"New Jersey","18","74","77","123","719","231","719"
"New Mexico","19","43","81","70","413","120","413"
"New York","35","154","208","283","1547","474","1547"
"North Carolina","23","115","166","215","1174","364","1174"
"North Dakota","N/A","19","15","19","106","27","106"
"Ohio","28","165","250","247","1439","430","1439"
"Oklahoma","20","61","119","114","618","169","618"
"Oregon","N/A","48","86","135","685","259","685"
"Pennsylvania","51","181","216","262","1576","499","1576"
"Rhode Island","N/A","10","18","38","129","26","129"
"South Carolina","16","65","100","111","637","202","637"
"South Dakota","12","23","22","23","140","32","140"
"Tennessee","22","89","178","179","943","272","943"
"Texas","73","348","476","516","2891","856","2891"
"Utah","22","57","124","75","473","116","473"
"Vermont","N/A","11","17","13","106","41","106"
"Virginia","23","79","157","175","963","300","963"
"Washington","25","97","143","176","957","310","957"
"West Virginia","N/A","19","40","47","279","108","279"
"Wisconsin","31","83","120","119","793","247","793"
"Wyoming","N/A","21","16","17","131","43","131"
