"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","838","NaN","NaN","NaN","34598","10490","34598"
"Alabama","11","66","98","112","592","194","592"
"Alaska","N/A","24","33","25","149","28","149"
"Arizona","24","116","186","169","1016","302","1016"
"Arkansas","N/A","33","69","93","402","113","402"
"California","68","322","514","656","3602","1176","3602"
"Colorado","28","66","135","167","811","220","811"
"Connecticut","N/A","28","32","50","271","83","271"
"Delaware","N/A","N/A","N/A","22","95","27","95"
"District of Columbia","N/A","N/A","N/A","N/A","36","15","36"
"Florida","30","203","318","443","2587","977","2587"
"Georgia","17","91","145","218","997","305","997"
"Hawaii","N/A","13","22","16","133","45","133"
"Idaho","N/A","39","34","36","223","62","223"
"Illinois","26","147","163","222","1108","315","1108"
"Indiana","23","81","136","151","790","214","790"
"Iowa","13","34","42","70","322","93","322"
"Kansas","14","49","44","77","382","106","382"
"Kentucky","18","59","126","142","649","169","649"
"Louisiana","17","62","113","102","522","125","522"
"Maine","N/A","28","24","32","191","67","191"
"Maryland","16","54","89","113","518","141","518"
"Massachusetts","11","43","80","120","516","152","516"
"Michigan","32","106","164","218","1131","315","1131"
"Minnesota","23","63","92","116","572","155","572"
"Mississippi","14","37","74","74","396","120","396"
"Missouri","22","78","128","161","808","231","808"
"Montana","N/A","17","25","30","196","71","196"
"Nebraska","12","22","21","36","181","54","181"
"Nevada","16","32","55","93","471","179","471"
"New Hampshire","N/A","12","16","28","158","53","158"
"New Jersey","13","64","91","126","596","172","596"
"New Mexico","16","51","57","79","401","109","401"
"New York","29","124","212","281","1396","448","1396"
"North Carolina","26","99","154","236","1077","348","1077"
"North Dakota","N/A","15","19","14","95","28","95"
"Ohio","38","140","198","258","1295","373","1295"
"Oklahoma","16","46","90","99","531","147","531"
"Oregon","N/A","50","89","99","594","211","594"
"Pennsylvania","35","139","204","295","1441","437","1441"
"Rhode Island","N/A","10","11","24","96","27","96"
"South Carolina","N/A","49","86","101","530","161","530"
"South Dakota","N/A","21","20","N/A","102","28","102"
"Tennessee","14","73","128","173","844","272","844"
"Texas","76","289","424","471","2433","649","2433"
"Utah","10","61","77","69","378","84","378"
"Vermont","N/A","N/A","15","15","89","29","89"
"Virginia","18","83","120","185","880","269","880"
"Washington","14","92","116","165","865","282","865"
"West Virginia","N/A","32","46","61","300","96","300"
"Wisconsin","18","92","111","144","729","184","729"
"Wyoming","N/A","14","19","23","101","29","101"
