"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","918","NaN","NaN","6602","31484","NaN","31484"
"Alabama","N/A","56","90","96","521","160","521"
"Alaska","11","25","26","16","124","26","124"
"Arizona","28","109","140","187","840","232","840"
"Arkansas","N/A","36","59","66","374","119","374"
"California","67","327","547","683","3397","NaN","3397"
"Colorado","17","70","114","172","728","191","728"
"Connecticut","N/A","20","41","61","272","83","272"
"Delaware","N/A","N/A","N/A","19","94","22","94"
"District of Columbia","N/A","N/A","N/A","11","36","N/A","36"
"Florida","29","170","303","480","2297","850","2297"
"Georgia","27","108","154","181","972","302","972"
"Hawaii","N/A","12","26","21","131","39","131"
"Idaho","N/A","28","34","46","217","62","217"
"Illinois","33","98","178","231","1011","262","1011"
"Indiana","13","68","158","160","736","169","736"
"Iowa","15","44","43","77","352","88","352"
"Kansas","12","35","50","68","347","95","347"
"Kentucky","15","66","108","116","567","160","567"
"Louisiana","13","68","78","105","461","119","461"
"Maine","N/A","N/A","21","23","137","48","137"
"Maryland","13","67","72","90","491","145","491"
"Massachusetts","14","37","76","108","433","108","433"
"Michigan","31","101","203","223","1029","252","1029"
"Minnesota","30","65","83","119","497","112","497"
"Mississippi","N/A","33","72","58","336","106","336"
"Missouri","19","74","87","162","679","194","679"
"Montana","N/A","23","32","34","180","47","180"
"Nebraska","N/A","23","37","35","176","47","176"
"Nevada","14","48","61","82","434","155","434"
"New Hampshire","N/A","17","25","30","158","46","158"
"New Jersey","13","52","90","114","588","196","588"
"New Mexico","24","36","70","61","343","95","343"
"New York","30","131","174","227","1169","388","1169"
"North Carolina","23","119","147","205","955","255","955"
"North Dakota","N/A","18","10","16","81","15","81"
"Ohio","34","106","194","224","1074","294","1074"
"Oklahoma","24","51","88","97","476","126","476"
"Oregon","N/A","55","71","115","592","209","592"
"Pennsylvania","53","138","184","292","1340","382","1340"
"Rhode Island","N/A","N/A","N/A","27","84","16","84"
"South Carolina","N/A","37","77","113","476","151","476"
"South Dakota","N/A","18","17","24","102","19","102"
"Tennessee","17","69","144","168","762","207","762"
"Texas","91","281","374","506","2363","582","2363"
"Utah","17","63","65","62","336","73","336"
"Vermont","N/A","N/A","10","23","83","25","83"
"Virginia","19","90","141","171","808","229","808"
"Washington","28","78","123","172","803","240","803"
"West Virginia","N/A","29","32","57","266","94","266"
"Wisconsin","29","74","97","140","647","157","647"
"Wyoming","N/A","13","13","28","109","27","109"
