"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","6466","29199","NaN","29199"
"Alabama","15","75","83","120","555","172","555"
"Alaska","10","15","19","21","96","13","96"
"Arizona","26","58","143","152","766","252","766"
"Arkansas","16","48","59","70","336","100","336"
"California","86","266","515","647","3077","966","3077"
"Colorado","27","63","102","135","574","139","574"
"Connecticut","N/A","25","40","57","274","91","274"
"Delaware","N/A","N/A","17","27","86","16","86"
"District of Columbia","N/A","N/A","N/A","11","30","N/A","30"
"Florida","39","132","291","448","2029","743","2029"
"Georgia","26","102","187","174","873","248","873"
"Hawaii","N/A","13","38","31","136","30","136"
"Idaho","12","18","27","43","181","58","181"
"Illinois","34","112","186","238","1020","277","1020"
"Indiana","22","81","121","147","628","151","628"
"Iowa","21","37","46","60","305","96","305"
"Kansas","15","45","55","61","299","70","299"
"Kentucky","14","43","87","117","470","127","470"
"Louisiana","22","66","101","98","518","141","518"
"Maine","N/A","11","33","43","175","50","175"
"Maryland","15","51","80","98","435","119","435"
"Massachusetts","21","33","84","106","431","112","431"
"Michigan","41","111","189","217","974","241","974"
"Minnesota","20","62","68","112","437","100","437"
"Mississippi","10","33","42","75","304","106","304"
"Missouri","35","78","124","160","700","198","700"
"Montana","N/A","22","14","36","162","57","162"
"Nebraska","10","24","38","40","177","39","177"
"Nevada","N/A","33","74","77","404","139","404"
"New Hampshire","N/A","19","29","25","137","28","137"
"New Jersey","N/A","55","92","142","563","170","563"
"New Mexico","14","50","54","69","318","77","318"
"New York","35","129","211","251","1196","354","1196"
"North Carolina","33","105","164","192","884","224","884"
"North Dakota","N/A","10","13","11","73","23","73"
"Ohio","33","128","185","249","1102","342","1102"
"Oklahoma","15","67","106","114","492","112","492"
"Oregon","15","44","68","102","478","152","478"
"Pennsylvania","41","133","218","309","1284","368","1284"
"Rhode Island","N/A","10","19","29","96","22","96"
"South Carolina","21","51","61","96","418","123","418"
"South Dakota","N/A","22","14","16","103","21","103"
"Tennessee","18","63","153","173","726","187","726"
"Texas","77","235","364","457","2005","522","2005"
"Utah","12","51","55","68","282","53","282"
"Vermont","N/A","N/A","N/A","17","63","22","63"
"Virginia","21","72","150","172","791","228","791"
"Washington","26","100","134","173","816","235","816"
"West Virginia","11","22","29","47","229","71","229"
"Wisconsin","22","87","94","122","593","159","593"
"Wyoming","N/A","13","17","11","98","32","98"
