"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","5070","NaN","30622","NaN","30622"
"Alabama","17","52","93","102","512","156","512"
"Alaska","12","16","16","21","102","15","102"
"Arizona","30","84","131","144","767","220","767"
"Arkansas","13","37","84","84","382","104","382"
"California","78","260","486","544","2831","937","2831"
"Colorado","31","77","127","151","722","183","722"
"Connecticut","15","24","44","60","283","81","283"
"Delaware","N/A","11","20","25","108","27","108"
"District of Columbia","N/A","N/A","10","N/A","40","N/A","40"
"Florida","48","162","321","447","2314","851","2314"
"Georgia","33","116","167","214","935","241","935"
"Hawaii","N/A","17","19","28","136","35","136"
"Idaho","13","34","37","37","210","66","210"
"Illinois","45","127","189","247","1139","329","1139"
"Indiana","23","75","111","156","715","186","715"
"Iowa","20","45","39","58","304","81","304"
"Kansas","16","47","52","72","293","67","293"
"Kentucky","12","48","86","118","495","127","495"
"Louisiana","18","55","84","105","493","142","493"
"Maine","N/A","19","23","27","161","57","161"
"Maryland","14","54","69","105","454","121","454"
"Massachusetts","10","48","72","101","426","103","426"
"Michigan","40","103","188","242","1051","277","1051"
"Minnesota","27","60","77","103","480","112","480"
"Mississippi","13","41","62","71","328","87","328"
"Missouri","20","95","110","167","725","193","725"
"Montana","N/A","14","28","43","175","56","175"
"Nebraska","N/A","22","32","42","187","50","187"
"Nevada","N/A","32","49","84","387","129","387"
"New Hampshire","N/A","22","33","39","167","34","167"
"New Jersey","N/A","59","100","143","588","165","588"
"New Mexico","12","32","55","92","362","99","362"
"New York","48","131","197","281","1253","363","1253"
"North Carolina","29","116","152","221","997","283","997"
"North Dakota","N/A","N/A","15","23","79","20","79"
"Ohio","32","133","194","269","1219","348","1219"
"Oklahoma","16","55","88","114","515","141","515"
"Oregon","12","37","87","117","505","144","505"
"Pennsylvania","43","122","225","275","1276","343","1276"
"Rhode Island","N/A","13","18","19","88","15","88"
"South Carolina","N/A","49","91","104","467","121","467"
"South Dakota","N/A","19","18","20","105","21","105"
"Tennessee","17","72","133","158","711","212","711"
"Texas","90","264","383","485","2225","573","2225"
"Utah","19","48","63","78","321","55","321"
"Vermont","N/A","11","10","11","72","22","72"
"Virginia","24","84","117","198","797","219","797"
"Washington","17","73","121","138","712","204","712"
"West Virginia","N/A","17","42","60","286","106","286"
"Wisconsin","32","68","90","166","639","167","639"
"Wyoming","N/A","11","12","19","83","13","83"
