"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","974","NaN","NaN","NaN","31655","NaN","31655"
"Alabama","17","51","78","116","514","159","514"
"Alaska","N/A","24","24","31","132","18","132"
"Arizona","27","115","157","153","886","268","886"
"Arkansas","14","45","64","85","377","98","377"
"California","78","268","505","645","3228","NaN","3228"
"Colorado","29","84","122","172","727","165","727"
"Connecticut","N/A","20","41","51","260","74","260"
"Delaware","N/A","N/A","10","18","74","17","74"
"District of Columbia","N/A","N/A","N/A","N/A","31","N/A","31"
"Florida","43","164","278","484","2338","844","2338"
"Georgia","25","86","155","205","909","279","909"
"Hawaii","N/A","10","21","25","120","32","120"
"Idaho","N/A","24","29","39","202","57","202"
"Illinois","33","135","194","243","1145","319","1145"
"Indiana","20","84","129","167","743","189","743"
"Iowa","10","44","59","64","314","78","314"
"Kansas","11","54","45","73","345","92","345"
"Kentucky","10","63","94","118","540","139","540"
"Louisiana","11","79","88","103","499","134","499"
"Maine","N/A","15","34","37","166","48","166"
"Maryland","19","62","65","102","477","145","477"
"Massachusetts","N/A","49","72","105","436","118","436"
"Michigan","42","108","181","260","1106","283","1106"
"Minnesota","22","70","81","99","497","122","497"
"Mississippi","12","49","62","74","343","78","343"
"Missouri","19","70","93","167","693","192","693"
"Montana","10","19","31","33","184","57","184"
"Nebraska","10","17","34","49","201","51","201"
"Nevada","N/A","34","60","86","423","147","423"
"New Hampshire","N/A","18","19","27","132","37","132"
"New Jersey","N/A","44","97","95","553","188","553"
"New Mexico","13","42","57","80","349","83","349"
"New York","40","156","191","274","1228","330","1228"
"North Carolina","19","76","163","230","986","320","986"
"North Dakota","N/A","10","17","17","91","26","91"
"Ohio","41","127","205","276","1287","387","1287"
"Oklahoma","18","63","80","104","501","131","501"
"Oregon","14","49","73","105","518","153","518"
"Pennsylvania","47","150","198","327","1341","351","1341"
"Rhode Island","N/A","N/A","15","22","86","21","86"
"South Carolina","N/A","42","72","115","440","128","440"
"South Dakota","12","12","15","17","94","23","94"
"Tennessee","18","56","155","178","778","224","778"
"Texas","99","247","403","530","2311","592","2311"
"Utah","22","39","76","83","340","60","340"
"Vermont","N/A","10","10","14","92","30","92"
"Virginia","28","68","122","169","799","259","799"
"Washington","26","76","112","177","811","239","811"
"West Virginia","N/A","44","37","59","276","73","276"
"Wisconsin","27","86","97","127","627","160","627"
"Wyoming","N/A","22","19","14","105","25","105"
