"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Alabama","34","75","162","115","137","304","827"
"Alaska","11","50","52","52","17","38","220"
"Arizona","44","167","283","227","196","557","NaN"
"Arkansas","15","59","117","131","98","198","618"
"California","137","414","787","688","614","NaN","NaN"
"Colorado","52","152","280","237","201","462","NaN"
"Connecticut","14","44","56","45","51","191","401"
"Delaware","N/A","19","22","21","21","47","137"
"District of Columbia","N/A","N/A","14","N/A","N/A","18","46"
"Florida","76","274","485","472","494","NaN","NaN"
"Georgia","87","208","313","274","273","521","NaN"
"Hawaii","N/A","21","37","40","30","71","202"
"Idaho","24","36","88","67","57","115","387"
"Illinois","56","157","275","225","249","492","NaN"
"Indiana","49","141","214","200","153","372","NaN"
"Iowa","21","56","96","115","93","168","549"
"Kansas","27","79","123","100","78","153","560"
"Kentucky","26","96","140","146","134","274","816"
"Louisiana","29","74","117","136","113","220","689"
"Maine","N/A","18","54","49","46","101","277"
"Maryland","26","72","99","96","97","230","620"
"Massachusetts","18","53","105","95","86","247","604"
"Michigan","55","160","279","227","212","552","NaN"
"Minnesota","30","89","165","135","124","265","808"
"Mississippi","18","52","95","78","78","159","480"
"Missouri","38","140","256","184","168","391","NaN"
"Montana","25","46","58","65","48","108","350"
"Nebraska","18","30","64","48","49","79","288"
"Nevada","22","79","106","108","118","258","691"
"New Hampshire","N/A","19","34","31","45","87","223"
"New Jersey","18","74","97","108","128","263","688"
"New Mexico","19","72","112","85","77","168","533"
"New York","46","138","323","253","296","604","NaN"
"North Carolina","60","189","256","201","225","517","NaN"
"North Dakota","N/A","25","31","30","28","36","156"
"Ohio","60","200","336","292","261","617","NaN"
"Oklahoma","34","113","149","174","129","278","877"
"Oregon","16","79","162","137","141","353","889"
"Pennsylvania","62","166","319","303","318","717","NaN"
"Rhode Island","N/A","11","14","22","26","40","117"
"South Carolina","28","102","135","126","136","275","802"
"South Dakota","12","42","44","21","32","52","203"
"Tennessee","39","121","251","188","204","419","NaN"
"Texas","193","571","824","722","633","NaN","NaN"
"Utah","29","96","116","129","114","159","643"
"Vermont","N/A","N/A","26","19","23","62","142"
"Virginia","46","163","201","187","168","423","NaN"
"Washington","54","146","240","197","157","435","NaN"
"West Virginia","14","34","58","73","56","140","375"
"Wisconsin","34","104","164","147","148","308","905"
"Wyoming","10","26","28","39","18","69","190"
