"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","985","NaN","NaN","6703","36035","11220","36035"
"Alabama","N/A","72","104","106","604","179","604"
"Alaska","13","32","30","26","169","35","169"
"Arizona","33","97","126","157","972","347","972"
"Arkansas","10","51","85","78","447","133","447"
"California","78","331","487","659","3775","1351","3775"
"Colorado","24","92","107","135","803","227","803"
"Connecticut","10","32","39","60","315","97","315"
"Delaware","N/A","11","18","16","109","29","109"
"District of Columbia","N/A","N/A","N/A","11","43","14","43"
"Florida","39","194","337","471","2740","1055","2740"
"Georgia","23","101","151","170","981","308","981"
"Hawaii","N/A","16","17","27","133","38","133"
"Idaho","14","25","26","39","252","96","252"
"Illinois","39","106","175","241","1198","372","1198"
"Indiana","32","62","131","169","809","255","809"
"Iowa","10","46","58","80","380","106","380"
"Kansas","10","59","56","61","337","87","337"
"Kentucky","21","38","93","122","612","192","612"
"Louisiana","13","67","94","108","532","147","532"
"Maine","N/A","14","22","32","181","60","181"
"Maryland","13","52","75","91","507","158","507"
"Massachusetts","14","35","60","119","509","140","509"
"Michigan","39","107","187","245","1180","314","1180"
"Minnesota","18","72","88","122","596","157","596"
"Mississippi","14","43","69","69","409","139","409"
"Missouri","24","102","114","136","779","218","779"
"Montana","N/A","25","42","31","203","60","203"
"Nebraska","11","25","33","28","191","46","191"
"Nevada","N/A","46","69","90","528","188","528"
"New Hampshire","N/A","12","21","42","179","51","179"
"New Jersey","14","52","86","120","615","199","615"
"New Mexico","28","51","59","68","419","111","419"
"New York","31","123","198","282","1409","443","1409"
"North Carolina","22","119","182","234","1162","347","1162"
"North Dakota","N/A","13","15","17","86","23","86"
"Ohio","61","141","226","294","1412","378","1412"
"Oklahoma","18","60","94","105","575","162","575"
"Oregon","16","48","75","103","572","188","572"
"Pennsylvania","31","140","231","290","1539","463","1539"
"Rhode Island","N/A","N/A","11","26","110","28","110"
"South Carolina","17","72","69","87","565","193","565"
"South Dakota","11","25","18","21","124","27","124"
"Tennessee","24","79","140","202","973","315","973"
"Texas","76","269","446","474","2552","720","2552"
"Utah","16","62","72","66","390","82","390"
"Vermont","N/A","N/A","11","17","94","28","94"
"Virginia","33","100","138","172","948","293","948"
"Washington","20","88","130","160","889","279","889"
"West Virginia","N/A","27","38","55","261","86","261"
"Wisconsin","13","67","119","146","743","222","743"
"Wyoming","N/A","15","21","23","124","34","124"
