"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","NaN","32637","9614","32637"
"Alabama","N/A","58","79","99","535","176","535"
"Alaska","N/A","25","23","34","131","17","131"
"Arizona","37","126","161","170","945","267","945"
"Arkansas","24","38","63","81","400","113","400"
"California","81","307","431","606","3206","1077","3206"
"Colorado","29","113","114","166","800","216","800"
"Connecticut","11","24","32","76","295","84","295"
"Delaware","N/A","N/A","17","15","83","22","83"
"District of Columbia","N/A","N/A","N/A","N/A","33","14","33"
"Florida","57","174","299","438","2347","849","2347"
"Georgia","23","93","132","196","924","291","924"
"Hawaii","N/A","N/A","20","26","107","29","107"
"Idaho","N/A","25","37","40","228","73","228"
"Illinois","21","118","171","238","1086","321","1086"
"Indiana","24","90","120","149","745","200","745"
"Iowa","11","46","55","65","333","84","333"
"Kansas","N/A","40","64","78","362","100","362"
"Kentucky","12","50","100","136","566","147","566"
"Louisiana","21","75","96","83","505","132","505"
"Maine","N/A","12","26","30","175","68","175"
"Maryland","21","46","75","103","472","134","472"
"Massachusetts","12","44","86","103","480","135","480"
"Michigan","34","107","189","239","1108","292","1108"
"Minnesota","32","73","85","98","547","133","547"
"Mississippi","10","47","58","87","363","90","363"
"Missouri","22","76","97","179","727","190","727"
"Montana","14","21","30","41","206","55","206"
"Nebraska","14","16","30","47","187","42","187"
"Nevada","17","41","65","89","480","167","480"
"New Hampshire","N/A","13","18","37","162","52","162"
"New Jersey","12","63","80","117","536","155","536"
"New Mexico","18","52","43","61","342","86","342"
"New York","35","138","175","242","1189","354","1189"
"North Carolina","29","92","139","210","1009","306","1009"
"North Dakota","N/A","23","15","12","92","18","92"
"Ohio","46","142","199","272","1341","398","1341"
"Oklahoma","11","62","92","112","522","141","522"
"Oregon","14","48","72","92","560","192","560"
"Pennsylvania","37","140","210","286","1430","421","1430"
"Rhode Island","N/A","N/A","N/A","13","71","24","71"
"South Carolina","16","60","87","108","510","126","510"
"South Dakota","10","17","18","19","121","38","121"
"Tennessee","13","79","129","173","856","282","856"
"Texas","95","295","416","489","2418","623","2418"
"Utah","11","55","78","71","348","71","348"
"Vermont","N/A","N/A","14","20","78","18","78"
"Virginia","27","77","149","152","866","274","866"
"Washington","20","85","125","143","822","240","822"
"West Virginia","N/A","25","33","41","255","93","255"
"Wisconsin","33","71","112","150","643","155","643"
"Wyoming","N/A","12","16","13","90","29","90"
