"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","940","NaN","NaN","NaN","33300","9882","33300"
"Alabama","16","72","105","104","580","174","580"
"Alaska","11","33","16","26","135","24","135"
"Arizona","47","119","133","173","979","330","979"
"Arkansas","13","32","61","78","376","121","376"
"California","88","337","468","589","3334","1098","3334"
"Colorado","21","99","115","165","730","175","730"
"Connecticut","11","25","44","55","292","79","292"
"Delaware","N/A","10","12","20","91","28","91"
"District of Columbia","N/A","N/A","N/A","N/A","30","10","30"
"Florida","39","169","297","429","2440","958","2440"
"Georgia","21","84","139","185","923","264","923"
"Hawaii","N/A","20","17","22","120","29","120"
"Idaho","12","23","38","53","222","57","222"
"Illinois","26","109","157","213","1010","273","1010"
"Indiana","23","75","139","173","824","200","824"
"Iowa","21","36","41","77","334","90","334"
"Kansas","13","39","74","75","379","102","379"
"Kentucky","14","61","105","147","622","170","622"
"Louisiana","12","60","100","100","492","126","492"
"Maine","N/A","11","17","33","158","55","158"
"Maryland","10","66","84","86","495","147","495"
"Massachusetts","N/A","39","65","98","450","120","450"
"Michigan","35","89","158","261","1139","325","1139"
"Minnesota","25","64","93","116","554","136","554"
"Mississippi","N/A","32","48","77","325","101","325"
"Missouri","25","86","123","158","799","220","799"
"Montana","N/A","25","30","35","189","61","189"
"Nebraska","16","30","20","32","202","59","202"
"Nevada","15","49","65","88","486","169","486"
"New Hampshire","N/A","11","25","35","151","49","151"
"New Jersey","12","53","75","133","585","192","585"
"New Mexico","20","48","63","56","352","93","352"
"New York","36","116","208","256","1326","402","1326"
"North Carolina","25","126","158","213","1106","317","1106"
"North Dakota","N/A","22","20","10","90","14","90"
"Ohio","43","140","218","234","1325","376","1325"
"Oklahoma","16","58","86","114","537","152","537"
"Oregon","N/A","66","76","109","579","185","579"
"Pennsylvania","28","157","194","285","1396","409","1396"
"Rhode Island","N/A","N/A","16","19","90","23","90"
"South Carolina","14","47","77","105","524","168","524"
"South Dakota","10","22","14","23","125","25","125"
"Tennessee","18","81","116","212","874","245","874"
"Texas","78","293","405","463","2347","633","2347"
"Utah","11","49","68","85","362","87","362"
"Vermont","N/A","N/A","N/A","18","81","24","81"
"Virginia","21","88","117","170","876","273","876"
"Washington","19","103","112","129","809","243","809"
"West Virginia","N/A","15","36","57","269","83","269"
"Wisconsin","16","55","103","175","670","154","670"
"Wyoming","N/A","N/A","23","14","116","34","116"
