"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","NaN","39518","12842","39518"
"Alabama","13","70","117","99","654","225","654"
"Alaska","N/A","34","26","25","143","28","143"
"Arizona","38","119","174","197","1160","385","1160"
"Arkansas","10","52","66","106","462","126","462"
"California","90","377","567","629","3996","1466","3996"
"Colorado","30","92","153","165","913","266","913"
"Connecticut","N/A","34","49","66","370","117","370"
"Delaware","N/A","14","15","14","105","34","105"
"District of Columbia","N/A","N/A","N/A","N/A","37","10","37"
"Florida","53","202","361","396","2880","1158","2880"
"Georgia","22","111","193","202","1157","365","1157"
"Hawaii","N/A","32","30","29","181","56","181"
"Idaho","15","35","33","53","281","81","281"
"Illinois","44","139","207","181","1226","355","1226"
"Indiana","22","73","169","167","881","241","881"
"Iowa","19","39","60","89","422","123","422"
"Kansas","13","57","61","65","394","117","394"
"Kentucky","12","64","109","128","675","214","675"
"Louisiana","19","62","98","92","573","166","573"
"Maine","N/A","23","27","43","235","87","235"
"Maryland","15","55","87","85","558","192","558"
"Massachusetts","18","54","80","105","585","170","585"
"Michigan","45","124","197","214","1221","364","1221"
"Minnesota","27","74","111","114","683","219","683"
"Mississippi","11","35","70","66","389","134","389"
"Missouri","25","98","146","165","933","274","933"
"Montana","N/A","23","42","34","232","76","232"
"Nebraska","N/A","21","32","34","193","62","193"
"Nevada","22","45","63","79","516","194","516"
"New Hampshire","N/A","22","19","31","198","65","198"
"New Jersey","24","61","87","129","689","238","689"
"New Mexico","19","44","79","73","420","125","420"
"New York","49","181","252","279","1658","528","1658"
"North Carolina","23","126","191","212","1213","390","1213"
"North Dakota","N/A","12","13","14","106","35","106"
"Ohio","54","157","234","232","1465","448","1465"
"Oklahoma","17","76","120","128","693","192","693"
"Oregon","18","56","104","130","656","218","656"
"Pennsylvania","42","165","255","295","1747","561","1747"
"Rhode Island","N/A","N/A","12","13","101","35","101"
"South Carolina","19","63","107","93","658","224","658"
"South Dakota","N/A","22","20","22","128","37","128"
"Tennessee","14","77","150","167","955","329","955"
"Texas","107","320","481","520","2896","867","2896"
"Utah","17","60","99","81","502","132","502"
"Vermont","N/A","13","17","14","120","45","120"
"Virginia","29","112","153","164","1054","355","1054"
"Washington","29","101","165","159","1021","372","1021"
"West Virginia","N/A","33","45","57","306","99","306"
"Wisconsin","30","94","124","116","745","204","745"
"Wyoming","N/A","14","22","21","132","38","132"
