"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","NaN","40600","13577","40600"
"Alabama","21","54","106","136","724","251","724"
"Alaska","N/A","33","40","28","168","31","168"
"Arizona","33","110","187","165","1156","422","1156"
"Arkansas","19","48","78","84","485","160","485"
"California","75","357","543","612","3893","1494","3893"
"Colorado","32","108","186","176","1052","316","1052"
"Connecticut","11","27","48","73","368","116","368"
"Delaware","N/A","11","27","12","125","36","125"
"District of Columbia","N/A","N/A","N/A","N/A","37","13","37"
"Florida","57","227","318","469","3002","1258","3002"
"Georgia","32","105","207","194","1168","384","1168"
"Hawaii","N/A","20","31","30","190","67","190"
"Idaho","19","40","38","47","297","85","297"
"Illinois","40","120","189","241","1292","408","1292"
"Indiana","28","99","142","176","940","282","940"
"Iowa","19","46","67","73","383","100","383"
"Kansas","20","64","86","79","502","144","502"
"Kentucky","16","81","118","127","724","227","724"
"Louisiana","19","51","98","113","567","173","567"
"Maine","N/A","18","17","34","209","74","209"
"Maryland","16","60","77","93","583","202","583"
"Massachusetts","17","63","91","113","604","172","604"
"Michigan","58","143","191","213","1261","381","1261"
"Minnesota","30","65","89","128","656","197","656"
"Mississippi","N/A","36","65","84","410","124","410"
"Missouri","21","101","152","154","914","295","914"
"Montana","N/A","20","49","39","233","83","233"
"Nebraska","10","28","35","37","232","78","232"
"Nevada","N/A","34","74","93","524","201","524"
"New Hampshire","N/A","12","27","31","202","62","202"
"New Jersey","12","81","97","129","683","213","683"
"New Mexico","17","50","67","76","442","137","442"
"New York","46","173","254","254","1708","580","1708"
"North Carolina","35","119","194","184","1286","440","1286"
"North Dakota","N/A","17","18","20","105","23","105"
"Ohio","53","144","236","258","1542","521","1542"
"Oklahoma","32","85","120","124","670","206","670"
"Oregon","22","52","110","101","724","251","724"
"Pennsylvania","40","167","242","276","1647","553","1647"
"Rhode Island","N/A","N/A","17","16","105","30","105"
"South Carolina","16","59","101","97","673","244","673"
"South Dakota","N/A","19","26","18","141","39","141"
"Tennessee","21","76","144","160","978","355","978"
"Texas","94","359","515","519","3037","942","3037"
"Utah","22","65","114","102","550","124","550"
"Vermont","N/A","N/A","13","13","87","29","87"
"Virginia","25","109","171","190","1063","349","1063"
"Washington","37","106","177","155","1038","349","1038"
"West Virginia","10","32","53","60","326","101","326"
"Wisconsin","26","82","127","116","723","206","723"
"Wyoming","N/A","18","37","27","171","49","171"
